,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost
39843,3b777b775721dfa8d36de2a320a03e53,2.0,2016-06-15T00:00:00,2016-06-15,114.03,192.7
236796,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-21T00:00:00,2016-06-21,114.03,188.6
236981,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-22T00:00:00,2016-06-23,114.03,205.0
237130,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-27T00:00:00,2016-06-27,114.03,188.6
237212,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-27T00:00:00,2016-06-27,114.03,188.6
237437,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-29T00:00:00,2016-06-29,114.03,205.0
237471,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-29T00:00:00,2016-06-29,114.03,196.8
237850,3b777b775721dfa8d36de2a320a03e53,2.0,2016-07-04T00:00:00,2016-07-04,114.03,188.6
237883,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-04T00:00:00,2016-07-04,114.03,205.0
237994,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-05T00:00:00,2016-07-05,114.03,205.0
238064,3b777b775721dfa8d36de2a320a03e53,3.0,2016-07-06T00:00:00,2016-07-06,0.0,188.6
238127,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-06T00:00:00,2016-07-06,0.0,196.8
217627,3b777b775721dfa8d36de2a320a03e53,2.0,2016-07-08T00:00:00,2016-07-08,0.0,188.6
217699,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-11T00:00:00,2016-07-11,0.0,205.0
217815,3b777b775721dfa8d36de2a320a03e53,2.0,2016-07-12T00:00:00,2016-07-12,0.0,180.4
218156,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-15T00:00:00,2016-07-15,0.0,196.8
218222,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-18T00:00:00,2016-07-18,0.0,192.7
42325,3b777b775721dfa8d36de2a320a03e53,2.0,2016-07-28T00:00:00,2016-07-28,111.85,188.6
42354,3b777b775721dfa8d36de2a320a03e53,1.0,2016-07-28T00:00:00,2016-07-29,111.85,192.7
42508,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-01T00:00:00,2016-08-01,111.85,192.7
42667,3b777b775721dfa8d36de2a320a03e53,2.0,2016-08-02T00:00:00,2016-08-02,129.06,188.6
42770,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-03T00:00:00,2016-08-03,129.06,205.0
42831,3b777b775721dfa8d36de2a320a03e53,3.0,2016-08-03T00:00:00,2016-08-03,129.06,188.6
42939,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-04T00:00:00,2016-08-04,129.06,205.0
42987,3b777b775721dfa8d36de2a320a03e53,3.0,2016-08-04T00:00:00,2016-08-04,129.06,188.6
43435,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-11T00:00:00,2016-08-11,129.06,196.8
25612,3b777b775721dfa8d36de2a320a03e53,2.0,2016-08-15T00:00:00,2016-08-15,129.06,180.4
25718,3b777b775721dfa8d36de2a320a03e53,2.0,2016-08-16T00:00:00,2016-08-16,129.06,205.0
25875,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-16T00:00:00,2016-08-17,129.06,205.0
26001,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-17T00:00:00,2016-08-17,129.06,192.7
26072,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-18T00:00:00,2016-08-18,129.06,205.0
26239,3b777b775721dfa8d36de2a320a03e53,2.0,2016-08-18T00:00:00,2016-08-18,129.06,188.6
26367,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-19T00:00:00,2016-08-22,129.07,205.0
26563,3b777b775721dfa8d36de2a320a03e53,3.0,2016-08-22T00:00:00,2016-08-22,129.07,205.0
26817,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-23T00:00:00,2016-08-23,129.06,180.4
26932,3b777b775721dfa8d36de2a320a03e53,1.0,2016-08-24T00:00:00,2016-08-24,129.06,188.6
120957,3b777b775721dfa8d36de2a320a03e53,3.0,2016-09-02T00:00:00,2016-09-02,115.07,188.6
121356,3b777b775721dfa8d36de2a320a03e53,2.0,2016-09-06T00:00:00,2016-09-06,117.57,196.8
77234,3b777b775721dfa8d36de2a320a03e53,2.0,2016-09-08T00:00:00,2016-09-08,117.11,205.0
121555,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-08T00:00:00,2016-09-08,117.11,188.6
77255,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-08T00:00:00,2016-09-08,117.11,196.8
77379,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-09T00:00:00,2016-09-09,116.37,196.8
77686,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-12T00:00:00,2016-09-12,116.37,192.7
77626,3b777b775721dfa8d36de2a320a03e53,2.0,2016-09-12T00:00:00,2016-09-12,116.37,192.7
77874,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-13T00:00:00,2016-09-13,116.37,192.7
78031,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-14T00:00:00,2016-09-14,116.37,205.0
78216,3b777b775721dfa8d36de2a320a03e53,3.0,2016-09-15T00:00:00,2016-09-15,116.37,192.7
78311,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-16T00:00:00,2016-09-16,116.37,192.7
78593,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-19T00:00:00,2016-09-20,116.37,205.0
78686,3b777b775721dfa8d36de2a320a03e53,3.0,2016-09-20T00:00:00,2016-09-20,116.37,205.0
78813,3b777b775721dfa8d36de2a320a03e53,2.0,2016-09-20T00:00:00,2016-09-20,116.37,188.6
185942,3b777b775721dfa8d36de2a320a03e53,2.0,2016-09-21T00:00:00,2016-09-21,116.37,196.8
186300,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-23T00:00:00,2016-09-23,116.37,196.8
186430,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-26T00:00:00,2016-09-26,116.37,196.8
186717,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-28T00:00:00,2016-09-28,116.37,205.0
186631,3b777b775721dfa8d36de2a320a03e53,1.0,2016-09-28T00:00:00,2016-09-28,116.37,192.7
135813,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-07T00:00:00,2016-10-07,116.37,205.0
135863,3b777b775721dfa8d36de2a320a03e53,2.0,2016-10-07T00:00:00,2016-10-10,116.37,188.6
136162,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-10T00:00:00,2016-10-10,116.37,205.0
